drug_name,Reviews
TARPEYO,"I was diagnosed with IgA nephropathy last year and my doctor started me on Tarpeyo. Within three months, my protein levels in urine dropped noticeably. I feel more energetic, and my kidney function seems to be stable. Really thankful for this medication."
TARPEYO,"Tarpeyo has been a game changer for me. I was worried about the long-term damage to my kidneys, but since starting this drug, my test results have improved. The side effects were mild (a little bloating at first) but nothing unmanageable"
TARPEYO,"After years of trying different treatments, Tarpeyo is the first one that made a visible difference in my labs. My nephrologist says my kidney function decline has slowed down significantly. I feel hopeful again."
TARPEYO,"I’ve been on Tarpeyo for about 6 months. My swelling has reduced, my blood pressure is easier to manage, and overall I just feel better. It’s expensive, but the results are worth it for me"
TARPEYO,"Tarpeyo didn’t work well in my case. I had constant stomach issues, weight gain, and trouble sleeping. After a few months, my proteinuria didn’t improve much, so my doctor decided to stop it. Disappointed, especially given the cost"
Econopred,I had eye surgery and my doctor prescribed Econopred. It really helped with redness and swelling. Within a few days my vision felt clearer and the irritation was almost gone.
Econopred,"I suffer from chronic eye allergies, and Econopred works much faster than over-the-counter drops. The itching stopped within hours, and I could finally focus at work."
Econopred,"After cataract surgery, Econopred was a lifesaver. It kept the inflammation down and prevented complications. I had no major side effects either."
Econopred,"This drop gave me quick relief from painful eye inflammation. I used it exactly as prescribed, and within a week my eyes felt completely normal again."
Econopred,"Econopred caused me a lot of discomfort. My eyes felt burning every time I used it, and after a week my eye pressure went up. My doctor had to switch me to another drop."
Prednisolone,"I was diagnosed with sarcoidosis on the skin, have really bad skin lumps and rashes. Just started taking prednisone, it seems to be working. The lumps seem to be going down, although my appetite has increased a lot, and I have gained a few pounds while taking the medication."
Prednisolone,"I take prednisolone for acute asthma. Usually, a few times a year, 40 mg for 5 days. It works the best for me, and it works quickly. I got hot flashes the first night and some irritability for a day or two after my last dose. So worth it for me. I wish I could take it long term."
Prednisolone,Autoimmune hepatitis dx'ed. This med has saved my life during flares! Moon face and all...
Prednisolone,They made me swell up and made my muscles weak. I also developed diabetes.
Prednisolone,"I had been diagnosed with neurosarcoidosis, was put on prednisolone 30 mg daily for a month, and the next 9 months tapered off. I'm off these now, and I have awful fullness in my head and strange sounds which are really affecting me. I hope these go away. Anyone else have this? I'm off preds 8 weeks, feel like these have messed my life up."
FLUCONAZOLE,I take this medication 3 x a week for maintenance purposes per my doctor; I took one this AM and by 3 pm I had diarrhea. I think I know where my diarrhea problems are coming from now.
FLUCONAZOLE,"I was a bit hesitant to take this because, to be honest, I get side effects of a tic tac (joke), but you get my drift. I tried all other options - the internal pessaries, etc. - but nothing worked. But in all honesty, I took this Monday morning and I feel fine, just slightly tired. So if I can take it, anybody can."
FLUCONAZOLE,"I took 150 mg for 2 days in a row. It works like a charm. I'm a 73-year-old female and seem to get UTIs more often, but the 150 mg of fluconazole works great for me. I would definitely recommend it. It's a 10 for me."
FLUCONAZOLE,"Stay away from this crap! 11 days ago, I took 1 pill, and ever since, I've been having severe dizziness. I wish I would've just thrown it up. Better yet, I wish someone would've warned me about this. Now, I'm here, crying, wondering when it will end. Pray for me."
FLUCONAZOLE,Do not take this medicine! It has terrible side effects. You’ve been warned!
DIFLUCAN,I take this medication 3 x a week for maintenance purposes per my doctor; I took one this AM and by 3 pm I had diarrhea. I think I know where my diarrhea problems are coming from now
DIFLUCAN,"Two months ago, I started feeling burns on my penis, so I didn't take it seriously. But these days, it became so bad that I couldn't sleep, then I searched for it on Google today. I bought Diflucan, and it's been 4 hours, and I have no burning or itching, just a few wounds."
DIFLUCAN,"For the first time, two treatments of OTC cream didn't work, but within a couple of hours of taking this pill, I already felt a lot better. Thankful!"
DIFLUCAN,Do not take this medicine! It has terrible side effects. You’ve been warned!
DIFLUCAN,I have taken Diflucan twice and been using ministry and still severe itching. What do I do?
Ketoconazole,"This cream really works! My Dr. had prescribed both Nystop powder and cream, which didn't help. I also tried apple cider vinegar, tea tree oil, and antifungal soap. The ketoconazole was the only thing that cleared up my rash. I had no adverse side effects."
Ketoconazole,"Currently I am taking the tablet for toenail fungus and head dandruff. I am on day 4. I haven't seen any results yet, but I think it's too soon."
Ketoconazole,"Using this as a treatment for yeast infection and skin infection. It has had a remarkable response to the yeast infection, but not so for the skin."
Ketoconazole,Excellent for vaginal infection
Ketoconazole,"I started itching more, and it did not help me at all."
Ketoderm,"I had a stubborn fungal infection on my foot, and after using Ketoderm for two weeks, it cleared up completely. No itching, no redness — highly effective!"
Ketoderm,Ketoderm shampoo worked really well for my dandruff. I only use it twice a week and the flakes are almost gone. My scalp feels so much healthier.
Ketoderm,"I’ve tried many creams for ringworm, but Ketoderm was the only one that worked quickly. The itching stopped within a few days."
Ketoderm,"I used Ketoderm for a skin rash caused by fungus. It took a bit longer than I expected, but after 3 weeks the infection disappeared. Very satisfied."
Ketoderm,"Ketoderm didn’t work for me. It made my skin feel dry and irritated, and the infection didn’t improve much. I had to switch to another treatment."
NIZORAL,"To be more effective, Tinea versicolor has to be treated on the inside with the pills, and on the outside with the shampoo. The dermatologist informed me of this."
NIZORAL,Excellent for vaginal infection
NIZORAL,"My son and I both have taken Nizoral twice a day for 6 days. It cleared the issue up completely in approximately one month. However, it seems to return after a few years."
NIZORAL,"I got scalp irritation and burning after using Nizoral. It didn’t suit my sensitive skin, so I had to switch to a milder shampoo."
NIZORAL,Nizoral irritated my scalp a lot. It caused burning and made my hair feel very dry and brittle. I had to stop after two uses. Not for sensitive skin.
itraconazole,"Two rounds of 6 weeks a year apart, because Blasto can come back, saved my Standard Poodle's life. Sporanox attacked the fungus, along with eye drops, out of one of his eyes. The other eye was lost to the fungus. He was symptomatic on his skin, in his eyes, lungs, prostate and joints. Age 2, he lived to 14 1/2 and was healthy."
itraconazole,"I tried fluconazole a couple of times for the same condition, it worked temporarily but came back a couple of times. With itraconazole, it went away! I'm so glad my doctor prescribed it to me, I've been suffering for months!"
itraconazole,"I used to have recurring yeast infections but not anymore. My doctor prescribed itraconazole, 2 tabs (100 mg) for 5 days. Then, to take 2 tabs during my periods for 3 months. I never get itchy down there anymore."
itraconazole,I was given itraconazole (200 mg daily) to treat a fungus in my lung (Exophiala dermatitidis). Discontinued it 5 days later after breaking out in a severe case of hives.
itraconazole,"I have been taking this medication for months, and it has not done anything for my toenail fungus."""
Tolsura,"I had a persistent toenail fungus that didn’t respond to anything else. After a few months on Tolsura, the infection finally started clearing. My nails are growing back healthy."
Tolsura,"I couldn’t tolerate Tolsura at all. My liver enzymes went up during treatment, so my doctor had to stop it. Too risky for me."
Tolsura,"Tolsura worked great for my lung fungal infection. Breathing improved within weeks, and my doctor said my chest X-rays looked much better."
Tolsura,"I was nervous about side effects, but Tolsura helped me recover from a serious fungal infection quickly. Just had to follow my doctor’s instructions carefully."
Tolsura,"Tolsura upset my stomach badly. I had nausea almost every day and had to take it with food. It worked, but the side effects were tough."
AMPHOTEC,"I had to stop Amphotec because it caused kidney problems. My doctor switched me to another antifungal. Effective, but too harsh for me."
AMPHOTEC,"This medication is strong, but it worked when nothing else did. I had minimal kidney issues compared to what I feared with amphotericin B."
AMPHOTEC,My doctor prescribed Amphotec after I didn’t respond to other antifungals. It controlled my infection and I started feeling better within a couple of weeks.
AMPHOTEC,"Amphotec helped my infection, but the infusion side effects were rough — chills, fever, and nausea after every dose. It was hard to tolerate."
AMPHOTEC,"This medication is strong, but it worked when nothing else did. I had minimal kidney issues compared to what I feared with amphotericin B"
Amphotericin B,"I had serious kidney problems while on Amphotericin B. My doctor had to stop it and change therapy. Effective, but way too toxic in my case."
Amphotericin B,"I was hospitalized with a serious lung infection, and Amphotericin B cleared it up when other drugs failed. The side effects were strong, but the results were worth it"
Amphotericin B,"My doctor explained it’s the ‘gold standard’ for dangerous fungal infections. It worked quickly for me, and with careful monitoring I didn’t have major complications."
Amphotericin B,"It’s a strong drug, but very effective. I had to stay in the hospital for IV infusions, and my infection improved steadily. Definitely powerful medicine."
Amphotericin B,"Amphotericin B caused me chills and fever during every infusion. It was very hard to tolerate, even though it worked against the infection."
AMBISOME,"AmBisome worked wonders for my systemic fungal infection. My doctor said it’s safer than regular Amphotericin B, and I didn’t have the kidney damage I was worried about."
AMBISOME,"I was treated with AmBisome for leishmaniasis. The treatment took a while, but it cleared the infection completely. Side effects were mild compared to other options."
AMBISOME,"AmBisome still gave me infusion reactions — fever, nausea, and muscle pain after each dose. It worked, but the process was tough."
AMBISOME,"Even though it’s supposed to be safer, I still had kidney issues and my liver enzymes went up. My doctor had to stop treatment early."
AMBISOME,"Much easier to tolerate than standard Amphotericin B. I had only mild fever and chills during infusion, and my kidney function stayed stable."
Dificid,"I have been on the medicine for 6 days with 4 more to go, but I am already 99 percent better. I just hope the next test is negative, because NO WAY can I pay for another round of it. I have had no side effects, but I had been ill long enough that I am still pretty weak but improving EVERY DAY! Thanks to DIFICID 200 mg 2 x a day!"
Dificid,"My mother-in-law had C. diff for 10 months. Flagyl and vancomycin were given repeatedly, with C. diff returning after a day or two. I found Dificid after doing some research online. It took the doctors 2 months to agree to prescribe it. She took Dificid for 10 days and has been clear of C. diff for a month and has been able to resume her chemo treatments."
Dificid,"On my second round of Dificid, twice a day for 10 days, and I'm about 4 days in now and have seen no change at all. You would think a medication costing over $4,200.00 would be a wonder drug... So far, I don't see it."
Dificid,"This medication is just making everything worse: stomach, severe abdominal pain like I've never felt before. It's horrible, I can't eat or drink, vision lost, and the list goes on and on. I am on day 7, and I am in the hospital because of these symptoms!!"
Dificid,"Developed a severe stomachache six days after starting, so stopped taking pending a call to my doctor. Feels like a severe cramp."
FIDAXOMICIN,"I'm on day 9 of 10. I've taken one pill at breakfast and another at dinner along with one Florastor probiotic capsule per day. No side effects at all. Medication working as expected. Quiet GI. I've also avoided caffeine, which has been very helpful in not aggravating the colitis symptoms I had. I was so fearful about taking this drug based on the reviews and list of potential side effects I read. But I now strongly encourage anyone who needs to take this to do so and just expect the best :)"
FIDAXOMICIN,"I had C. diff. I am allergic to vancomycin and can't take metronidazole because of a medication I take, so my doctor prescribed fidaxomicin for C. diff, and it cured my C. diff in a few days."
FIDAXOMICIN,"This medication is just making everything worse: stomach, severe abdominal pain like I've never felt before. It's horrible, I can't eat or drink, vision lost, and the list goes on and on. I am on day 7, and I am in the hospital because of these symptoms!!"
FIDAXOMICIN,"On my second round of Dificid, twice a day for 10 days, and I'm about 4 days in now and have seen no change at all. You would think a medication costing over $4,200.00 would be a wonder drug... So far, I don't see it."
FIDAXOMICIN,"I took this for 10 days for CDIFF, had a relapse. Then I went on a long taper dose for nearly 3 months. During that time, I had a lot of abdominal pain, ended up in the ER. Did not feel well the entire time, but after 10 months of CDIFF, I was cured."
IBUPROFEN,I found that I was only able to get a very small amount of relief from taking Motrin.
IBUPROFEN,"Not strong enough. I tried 800 SR tabs, and I was still in agony"
IBUPROFEN,Doesn’t even touch the pain.
IBUPROFEN,"This is the only medication that reduces and totally takes my bad headaches away. However, I have to be careful because it has bad effects on my kidneys."
IBUPROFEN,200-400 mg really does work for my PMR pain. I try to only take it when I am really struggling.
ADVIL LIQUI-GELS,"Didn't work. I took 2 as the first dose because I have intense menstrual pain, but nothing happened. I waited for an hour before taking another one, hoping it would kick in, yet still nothing happened. I guess I can't say I'm surprised; nothing has ever helped my cramps. At this point, I just need to see a doctor ASAP."
ADVIL LIQUI-GELS,Absolutely could not have survived the pain and inflammation without this drug. It is gentle and safe enough to take 800 mg with food. The liquid gels seem to work (get into my system) much quicker than just plain ibuprofen.
ADVIL LIQUI-GELS,"Stay away from this. Took this medication at 5 am when I woke up with a headache. Took an Advil Extra Strength. Shortly after, I was puking my guts up for like an hour. I had an exam that morning too. Needless to say, I failed my exam. Thank you, Advil. I do not recommend this."
ADVIL LIQUI-GELS,Works better for my back pain than OxyContin.
ADVIL LIQUI-GELS,The gel tablets don't work at all for headaches. Never buying these again.
ZOLOFT,"I’m 50 and have struggled with anxiety because of my 26-year relationship with my wife. After 60 days, I don’t have the breakdowns anymore and can function. Zoloft helped me to close off to her and begin to feel safe emotionally. It really works."
ZOLOFT,"After suffering years from watching my husband and son die next to me in a car wreck, I have finally, after 3 years, been able to date and move past my life-altering tragedy. Although Zoloft is not a cure-all, it blocks the horrible images, clears your mind, and gives you a positive boost. I'm not sure where I would be without it. 100mg a day has been most effective."
ZOLOFT,"Never touch this poison. Withdrawal can last years, and some side effects are permanent. This drug is as dangerous as illegal drugs, maybe even more dangerous."
ZOLOFT,"Took only 3 times 12 mg. Now, 4 weeks after, still having a hard time. Lost 10 lb in 2 weeks. Awful."
ZOLOFT,"Have tried multiple times to take this pill, with failure every time. Takes weeks, if not months, to get the effect you want it to, but will almost instantly give you horrible diarrhea."
SERTRALINE,"Read this! I have had anxiety my whole life. But then I had my first baby, and it all escalated. I couldn’t sleep. I could take a big dose of oxazepam and still be awake. After 14 days of constant fear and panic attacks, I said: I am not okay. I needed to go away from the baby. So I went to my mom. I started sertraline, and the first 5 weeks were terrible. I could only lay in bed with a heart rate of 100bpm, feeling anxious and didn't eat for 2 weeks. After 5 weeks, I wanted to stop because I had never felt so horrible in my life. 2 days later, it happened. I woke up, and I didn’t feel that bad anymore. And the next day again. And so on. January was the worst month of my life, by far, but now everything is different. I can enjoy my daughter, and sertraline did that. So again, for whatever reason you are here, sometimes we cannot do this on our own. You are not weak to start medication. And please, continue the first few weeks. They are horrible. But come back and read this story again. Trust the process."
SERTRALINE,"2 months ago, I was desperately going through these pages to find something positive about sertraline. My mother had died, and my daughter, 3 weeks after, went into treatment for 6 weeks for anorexia. Long story short, I had an acute panic/anxiety/depression event in early December. I started on Zoloft 25mg on December 11. I had most hours of feeling 'ok' but I was frustrated that I was still feeling that adrenaline and anxiety. By week 5, I was still frustrated by feelings of anxiety. Then everything lifted. I promise you will feel better. I absolutely promise. Stick with it. But do the work too! Go out! Exercise! Eat well! (I had no appetite!) Don't watch the news. Look for the small things. And read or listen to Claire Weekes on YouTube (it's like your grandma giving you a talking to). You will be better."
SERTRALINE,"I took sertraline medication before for stress, anxiety, and social anxiety and was in such a bad place mentally I didn’t get any of the side effects mentioned here, and only felt the benefits of it. I took 50 mg daily. After 2 years, I have decided to start taking it again as I began struggling with negative thoughts, 0 motivation, and depression. All of this made 100% worse at the time of the month. Went to the doctor, and apparently, it’s called PMDD (premenstrual dysphoric disorder), basically an extreme version of PMS. I’m on day 7 of taking sertraline (50 mg again), and this time around have experienced almost every side effect mentioned here. The ones I’ve experienced most are insomnia, complete loss of appetite, even less motivation than before, increased anxiety, upset stomach, and am very jittery. I will update in a couple of weeks' time. I’ve been reading every review on this website, and it’s giving me hope and reassurance that these side effects will pass!!"
SERTRALINE,"It didn’t work, it made me feel even worse than I did before taking it. Not only did it negatively impact my mental health even more, but my physical as well. I got so extremely sick."
SERTRALINE,"SERTRALINE WORKS! I have been on Zoloft for about 2 weeks now like the doctor said. At the beginning, it was horrible. Really bad anxiety, depression, suicidal thoughts got worse. I felt so hopeless. I didn't want to get out of bed. My stomach hurt, and I stopped eating. I lost around 15 pounds and had issues sleeping. I get really tired and drowsy and take a nap in the morning. Now all the side effects are gone. The next week I felt really calm. Felt like I had no emotion. It was hard. It was more depression than anxiety. But now it's been 2 weeks, and I'm doing fun things and laughing and smiling again. It's like my anxiety is gone. It's great. I still get a moment of it, but it's not all day like before. This really works, and it's rough at the beginning, but it will pay off in the end! You got this!"
ZIAGEN,"Broke out in a mass of open sores, Dr. would not change as he stated I would get use to it. Quite drug after 6 mos went bach on drugs I was previously on."
ZIAGEN,"User describes being on Ziagen (with other antiretrovirals) for many years with consistently undetectable viral load and controlled T-cell counts. The medication is praised for its ongoing effectiveness. However, they did note that stomach problems and nausea were challenging, referencing the relief felt after switching off it."
ZIAGEN,"Took Ziagen in combination with Combivir for 6 1/2 years. Although it kept my viral load undetectable and t-cell count under control, the stomach problems and nausea were awful. … I am now on Truvada and Reyataz: feel like I’m born again! The side effects will stop once you stop taking the med…"
ZIAGEN,I am undetectable so that alone is Great News. I am however experiencing difficulty breathing ever since I started this medicine. It’s been a couple years now…
ZIAGEN,I am experiencing difficulty breathing ever since I started this medicine… also have stomach issues and sores in the mouth that I believe are a reaction to this drug.
Abacavir,"After 9 years, abacavir has kept my viral load undetectable, and my CD4 count is stable and high."
Abacavir,"I experience very few side effects with generic abacavir, aside from occasional headaches."
Abacavir,Within days I had a severe skin rash and fever—diagnosed as hypersensitivity to abacavir; had to stop immediately.
Abacavir,I’m very pleased with abacavir. It helps keep my HIV undetectable and is easy to take.
Abacavir,"After starting abacavir, I saw elevated liver enzymes and fatigue, so my doctor switched me back to my previous regimen."
Xegylz,"After one month on Xegylz, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Xegylz,"I completed a month of Xegylz, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Xegylz,"After a month on Xegylz, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Xegylz,"One month of using Xegylz has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Xegylz,"It’s been a month on Xegylz, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Orabloc,"It’s been a month on Orabloc, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Orabloc,"I used Orabloc for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Orabloc,"I have been on Orabloc for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Orabloc,"After one month on Orabloc, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Orabloc,"I completed a month of Orabloc, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Prozac,"This drug was a game changer. After 2 weeks, significant improvement in mood and general feeling of starting to get back up. By week 6, back on form, back at work. 3 years I have been on it and don’t intend coming off it. Have stuck at 20mg and never felt as calm and content. Side effects, none, benefits a new life"
Prozac,"Progressively got worse and worse with multiple panic attacks and suicidal thoughts over 8 weeks. Ended up on a cocktail of medications to ease my panic attacks. As soon as I stopped Prozac, I felt immediately better. Can’t believe I could have felt worse than I did before Prozac."
Prozac,"I completed a month of Prozac, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Prozac,"After one month on Prozac, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Prozac,"I have been on Prozac for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
ACYCLOVIR,"I love this medication, it has almost completely stopped all outbreaks. I was having them about six to eight times a year, mostly brought on by stress or my period. Now, taking acyclovir, I'm outbreak free with no side effects noticed."
ACYCLOVIR,"I was disappointed the price you pay and the amount you get. It did not last two days, so I won't know just how good it's meant to be because I could not do the recommended four days of treatment. Therefore, my hunt continues for a cold sore cream that will last and not disappoint, as Zovirax did"
ACYCLOVIR,"It’s been a month on ACYCLOVIR, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
ACYCLOVIR,"One month of using ACYCLOVIR has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
ACYCLOVIR,"I completed a month of ACYCLOVIR, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
ZOVIRAX,"I was disappointed the price you pay and the amount you get. It did not last two days, so I won't know just how good it's meant to be because I could not do the recommended four days of treatment. Therefore, my hunt continues for a cold sore cream that will last and not disappoint, as Zovirax did."
ZOVIRAX,"I used ZOVIRAX for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
ZOVIRAX,400 mg twice a day will stop an outbreak. The itching will usually stop within 12 hours after the first dose. I have not had to take it for more than two days. I have not experienced side effects from this medication
ZOVIRAX,"I started ZOVIRAX about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
ZOVIRAX,"After one month on ZOVIRAX, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
OSELTAMIVIR PHOSPHATE,"I rarely get sick, but by the time I left work on Thursday, I had the chills and a fever of 102. I went to Patient First walk-in clinic on Friday morning because I couldn't get in to see my doctor. They confirmed I had the flu, prescribed Tamiflu, and after the second dose, my fever is gone, and I feel close to normal."
OSELTAMIVIR PHOSPHATE,"My husband became psychotic on day 3, choked me and then killed himself. Where is our FDA? Where are the makers of Tamiflu? You took a husband, father, grandfather, great-grandfather, brother, and friend from many. No one seems to care."
OSELTAMIVIR PHOSPHATE,"I have been on OSELTAMIVIR PHOSPHATE for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
OSELTAMIVIR PHOSPHATE,"I started OSELTAMIVIR PHOSPHATE about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
OSELTAMIVIR PHOSPHATE,"After a month on OSELTAMIVIR PHOSPHATE, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Tolinase,"After one month on Tolinase, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Tolinase,"I completed a month of Tolinase, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Tolinase,"One month of using Tolinase has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Tolinase,"One month on Tolinase left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Tolinase,"I have been on Tolinase for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Tolazamide,"It’s been a month on Tolazamide, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Tolazamide,"After one month on Tolazamide, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Tolazamide,"One month of using Tolazamide has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Tolazamide,"I used Tolazamide for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Tolazamide,"I tried Tolazamide for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Glipizide,"I have type 2 diabetes; last year my HbA1c was 6.7. I was started on metformin and I had loose stools, liver problems and it wasn't even doing a great job for BG. I was then started on glipizide and I have no side effects and now HbA1c is 5.8"
Glipizide,"Glipizide works very well in lowering my blood sugar, but I gained a lot of weight. I thought it was due to my normal body changes until I started feeling terrible with this new big body. I asked my doctor about it, and he changed my medicine. I had gained 60 pounds in a year! When I stopped glipizide,"
Glipizide,"I completed a month of Glipizide, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Glipizide,"I have been on Glipizide for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Glipizide,"It’s been a month on Glipizide, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Glipizide XL,"I have used Glipizide XL for about 6 years now as a secondary medicine. Glipizide helps to keep my blood sugar numbers within range and keeps me from having to use insulin as much as I would without it, which is a good thing. I haven't had any side effects from the Glipizide at all. I'm very happy with this medication."
Glipizide XL,"I have been on Glipizide XL for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
